objectid;usoagregad;grupo;area;ruleid;ano;ruleid_1;shape_Length;shape_Area
184;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;9,04744E+12;1;2018;1;1,50744E+14;9,04744E+13
185;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,62823E+11;1;2018;1;2,79398E+14;5,62823E+14
186;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,05894E+12;1;2018;1;8,261E+13;1,05894E+14
187;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,12005E+11;1;2018;1;2,23195E+14;2,12006E+14
188;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,08464E+12;1;2018;1;4,91671E+14;1,08464E+14
189;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,8758E+13;1;2018;1;1,01259E+14;2,8758E+14
190;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,21143E+11;1;2018;1;4,30227E+14;3,21144E+14
191;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;74159987767;1;2018;1;4,56216E+14;7,41599E+14
192;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,66851E+12;1;2018;1;6,57084E+14;1,66851E+14
193;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;9,12521E+11;1;2018;1;4,94378E+14;9,12521E+14
194;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,46231E+11;1;2018;1;2,51922E+13;3,46231E+12
195;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;7,02752E+12;1;2018;1;1,70708E+14;7,02752E+14
196;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,80221E+11;1;2018;1;4,46855E+14;6,80221E+13
197;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,63247E+11;1;2018;1;2,96817E+14;3,63247E+14
198;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,68329E+13;1;2018;1;3,40242E+14;1,68329E+14
199;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,0337E+12;1;2018;1;7,20047E+14;1,0337E+14
200;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;8,97894E+11;1;2018;1;6,63637E+14;8,97894E+14
201;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;2,03953E+12;1;2018;1;8,53488E+14;2,03953E+14
202;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,28353E+12;1;2018;1;6,67087E+13;1,28353E+14
203;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;5,17165E+12;1;2018;1;2,19963E+14;5,17165E+14
204;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;3,65023E+12;1;2018;1;1,20726E+14;3,65023E+14
205;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;1,61416E+11;1;2018;1;1,7603E+14;1,61416E+14
206;Afloramentos rochosos e depósitos sedimentares;Áreas não urbanizadas;6,13561E+12;1;2018;1;2,29399E+13;6,13562E+14
